Name,URL,Rating,Notes,Detektiiif,InViewer,IIIFLink,IIIFLogo,DragDrop,Comment,Acad Tech,Latitude,Longitude
Dakota Wesleyan University,https://explore.digitalsd.org/digital/custom/dwu,4,,,,1,1,,,,-98.03122,43.697665
Duke University,https://repository.duke.edu/dc,4,,,,1,1,,Very good,https://learninginnovation.duke.edu/,-78.9382286,36.0014258
Durham University,https://discover.durham.ac.uk/discovery/search?vid=44DUR_INST:VU1,4,"says you can drag icon, but drag doesn't work",,,1,1,?,,,-1.5782029,54.7649859
"Edinburgh, University of",https://collections.ed.ac.uk/,4,,,,1,1,,CORS issues,,,
Fordham University,https://www.library.fordham.edu/digital/,4,logo displayed but not functional - hard to find,,,1,1,,,https://www.fordham.edu/information-technology/it-services/academic-technology/,,
Georgia State University,https://digitalcollections.library.gsu.edu,4,,,,1,1,,,https://cetloe.gsu.edu/teaching-technology/,-84.3852819,33.753068
"Georgia, Digital LIbrary Of",https://dlg.usg.edu/collections,4,icon links to Mirador,,1,,1,1,,,,
"Georgia, Digital Library of",https://dlg.usg.edu/,4,duplicate,,,1,1,1,,https://ctl.uga.edu/,-83.3724242,33.9423394
"Göttingen, University of",https://www.sub.uni-goettingen.de/en/digital-library/digital-resources/,4,bw icon,,,1,1,,,,9.9375952,51.5414946
Hamilton College,https://litsdigital.hamilton.edu/collections/hamilton-college-library-digital-collections,4,icon copies link,,,1,1,,,https://www.hamilton.edu/offices/lits/research-instructional-design/digital-project-design,,
Harvard Art Museums,https://harvardartmuseums.org/collections,4,,,,1,1,1,Excellent,,-71.1143582,42.3740898
Hoover Institution,https://digitalcollections2.hoover.org/,4,,,,1,1,,,,-122.1663503,37.4272462
"Illinois, University of (Urbana-Champaign)",https://metadata.library.illinois.edu/collections?fq%5B%5D=system_keyword_service_key:dls,4,hard to find - sometimes forbdden!,,,1,1,,,https://citl.illinois.edu/,-88.2271615,40.1019523
Kyoto University,https://rmda.kulib.kyoto-u.ac.jp/en,4,,,,1,1,,good,,135.7808218,35.0262444
Lancaster University,https://digitalcollections.lancaster.ac.uk/collections/,4,,,,1,1,1,excellent,,-2.7877294,54.0103942
Laurentian Medici Library,https://iiif.biblissima.fr/collections/search?collection=Teca%20digitale%20-%20Biblioteca%20Medicea%20Laurenziana,4,?iiif-content=,,,1,1,,good,,11.2538362,43.7746737
"Leeds, University of",https://digital.library.leeds.ac.uk/,4,icon links to iiif.io,,,1,1,,,,-1.5550328,53.8066815
Loyola Marymount University,https://digitalcollections.lmu.edu/,4,icon links to iiif.io,,,1,1,,,https://its.lmu.edu/whoweare/staff/teachinglearningandresearchtechnology/,-118.4188984,33.9691953
Miami University,https://www.lib.miamioh.edu/digital-collections/,4,,,,1,1,,,https://miamioh.edu/ehs/about/facilities/engaging-technology-lab.html,-84.7344915,39.5087485
Michigan State University,https://d.lib.msu.edu/msul,4,,,,1,1,,,https://teachingcenter.msu.edu/,-84.4790827,42.7250725
Mmmonk,https://www.mmmonk.be/en/manuscripts,4,"collaborative project between Bruges Public Library, Ghent University Library, Major Seminary Ten Duinen in Bruges and Ghent Diocese",,,1,1,,excellent,,3.2230443,51.2097981
National Library of Norway,https://www.nb.no/search,4,NOT WORKING,,,1,1,1,"WOULD BE EXCELLENT, BUT NOT WORKING",,10.7173052,59.9143327
National Library of Portugal,https://iiif.biblissima.fr/collections/search?collection=Biblioteca%20Nacional%20de%20Portugal%20-%20Biblioteca%20Nacional%20Digital,4,,,,1,1,?,,,-9.1526399,38.7511102
Natural HIstory Museum of UK,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/4659958,4,,,,1,1,,excellent,,,
Norman B. Leventhal Map & Education Center,https://www.leventhalmap.org/,4,,,,1,1,,Excellent,,-71.0781568,42.3492841
Northern State University (Digital Library of South Dakota),https://explore.digitalsd.org/digital/custom/nsu,4,,,,1,1,,,,-98.4829326,45.4510068
Northwestern University,https://www.library.northwestern.edu/libraries-collections/digital-collections/,4,,,,1,1,,,https://digitallearning.northwestern.edu/,-87.675267,42.0564594
Ohio University,https://www.ohio.edu/library/collections/digital-archives,4,,,,1,1,,Very good,,-82.1013889,39.324358
Oklahoma Department of Libraries,https://digitalprairieok.net/,4,,,,1,1,,Very Good,,-97.507904,35.4877052
Oxford University,https://www.bodleian.ox.ac.uk/collections-and-resources/special-collections/digital-collections,4,a little hidden but pretty good,,,1,1,,,,,
Purdue University,https://earchives.lib.purdue.edu/digital,4,,,,1,1,,Very good,,-86.9211946,40.4237054
Rice University,https://digitalcollections.rice.edu/,4,,,,1,1,,,,-95.4035531,29.7168363
Samford University,https://digitalcollections.samford.edu,4,,,,1,1,,,,-86.7913423,33.4649218
"San Francisco, University of",https://digitalcollections.usfca.edu/,4,,,,1,1,,Very good,,-122.4507187,37.7765643
"Scotland, National Library of",https://digital.nls.uk/gallery/,4,,,,1,1,1 - if dragged from UV,Very Good,,-3.1919722,55.9485782
Smart Museum of Art,https://smartcollection.uchicago.edu/collections,4,,,,1,1,,"Would be excellent, but not working",,-87.6001981,41.7935717
Smithsonian Institution,https://www.si.edu/collections,4,,,,1,1,,Very good / excellent,,,
Smithsonian National Museum of American History,https://americanhistory.si.edu/collections/,4,,,,1,1,,Very good / excellent,,-77.0300509,38.8912793
South Dakota School of Mines & Technology,https://explore.digitalsd.org/digital/custom/sdsmt,4,,,,1,1,,Very good,,-103.2062801,44.0730941
South Dakota State University,https://explore.digitalsd.org/digital/custom/sdsu,4,,,,1,1,,Very good,,-96.7835182,44.3191071
"South Dakota, University of",https://explore.digitalsd.org/digital/custom/usd,4,,,,1,1,,Very goodf,,-96.7357666,43.5425426
State Archives of North Carolina,https://digital.ncdcr.gov/,4,,,,1,1,,,,-78.63714,35.7828545
Stony Brook University,https://exhibits.library.stonybrook.edu/s/digital-projects/page/welcome,4,,,,1,1,,very strange manifest urls,,-73.1237618,40.9041385
The Claremont Colleges,https://ccdl.claremont.edu/,4,,,,1,1,,excellent,,-117.71304,34.0776
"The Huntington Library, Art Museum, and Botanical Gardens",https://hdl.huntington.org/,4,,,,1,1,,excellent,,-118.1145242,34.1290452
The Metropolitan Museum of Art,https://www.metmuseum.org/art/libraries-and-research-centers/watson-digital-collections,4,,,,1,1,,excellent,,-73.963244,40.7794366
The University of British Columbia,https://open.library.ubc.ca/,4,hard to find but OK,,,1,1,,,,-123.2459939,49.2606052
The University of Manchester,https://www.digitalcollections.manchester.ac.uk/,4,,,,1,1,1,excellent,,-2.2338837,53.4668498
Universiteit Leiden,https://digitalcollections.universiteitleiden.nl/,4,only rare books collection,,1,1,1,,,,4.4866564,52.156569
van Hamel Foundation for Celtic Studies,https://codecs.vanhamel.nl/Home,4,,,,1,1,,very good,,,
"Washington, University of",https://digitalcollections.lib.washington.edu,4,,,,1,1,,excellent,,-122.3081762,47.6516448
"Wisconsin, University of (Milwaukee)",https://uwm.edu/lib-collections/,4,,,,1,1,,excellent,https://uwm.edu/cetl/,-87.8819686,43.078263
Yale University,https://library.yale.edu/explore-collections/explore/digital-collections,4,,,,1,1,,excellent,,-72.9223431,41.3163244
Art Institute of Chicago,https://www.artic.edu/collection,3,,,,1,,,,https://www.saic.edu/crit,,
Brigham Young University,https://lib.byu.edu/collections/digital/,3,logo broken,,,1,,,,https://ctl.byu.edu/media-technology,-111.6493156,40.2518435
"British Columbia, University of",https://open.library.ubc.ca,3,logo displayed but not functional,,,1,,,,https://lthub.ubc.ca/,,
Brown University,https://repository.library.brown.edu/studio/collections/library/,3,excellent support but no logo,,,1,,,,"https://library.brown.edu/create/cds/ , https://dld.brown.edu/",-71.4025482,41.8267718
"Cape Town, University of",https://ibali.uct.ac.za/s/ibali/page/welcome,3,logo in UV. link availabkle but labeled 'image',,,1,,,,,18.4611991,-33.957652
Folger Shakespeare Library,https://digitalcollections.folger.edu/,3,no logo. LInk + link in Mirador,,,1,,,,,-77.0027563,38.8892957
Harvard University,https://curiosity.lib.harvard.edu/,3,logo displayed but not functional. separate link to copy manifest link,,,1,,,,,-71.1182488,42.3744368
Lafayette College,https://ldr.lafayette.edu/,3,,,1,,,1,,,,
